Tecnología,ubicacion,Central(KW-neto),vida_util(anos),tasa_descuento,linea_peaje$/MWh,eficiencia(p.u),CVNC($/MWh),Disp(p.u),maxima_restriccion_2030(MW)
carbon,diego de Almagro,2300,30,0.10,10.0,0.38,2.0,0.88,
carbon,huasco,2300,30,0.10,5.0,0.38,2.0,0.88,
carbon,quillota,2300,30,0.10,0.3,0.38,2.0,0.88,
carbon,RM,2300,30,0.10,0.3,0.38,2.0,0.88,
carbon,coronel,2300,30,0.10,3.0,0.38,2.0,0.88,
carbon,puerto_montt,2300,30,0.10,5.0,0.38,2.0,0.88,
cc-gnl,quillota,1000,25,0.10,0.3,0.45,3.4,0.93,
hidro_conv,charrua,3000,40,0.10,10.0,,0.0,0.6,1500 
eolica,huasco,1800,20,0.10,5.0,,8.0,0.35,500 
eolica,huasco,1800,20,0.10,5.0,,8.0,0.3,
solar,huasco,1500,20,0.10,5.0,,10.0,0.35,500 
solar,huasco,1500,20,0.10,5.0,,10.0,0.3,
geotermia,diego_de_almagro,4000,20,0.10,20.0,,20.0,0.8,200 MW
minihidro,charrua,3000,40,0.10,20.0,,0.0,0.6,500 MW
petroleo_diesel,diego_de_almagro,700,20,0.10,10.0,0.30,12.0,0.8,
petroleo_diesel,huasco,700,20,0.10,5.0,0.30,12.0,0.8,
petroleo_diesel,quillota,700,20,0.10,0.3,0.30,12.0,0.8,
petroleo_diesel,RM,700,20,0.10,0.3,0.30,12.0,0.8,
petroleo_diesel,coronel,700,20,0.10,3.0,0.30,12.0,0.8,
petroleo_diesel,puerto_montt,700,20,0.10,5.0,0.30,12.0,0.8,
